stationIDX,lat,lon,name,url
8052,55.828408,-4.218786,"South Lanarkshire Rutherglen, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/south-lanarkshire-rutherglen
8053,53.290642,-4.406563,"Anglesey Llynfaes, United Kingdom",https://aqicn.org/city/united-kingdom/wales/anglesey-llynfaes
8054,53.24528,-4.199496,Anglesey Penhesgyn 2,http://aqicn.org/city/united-kingdom/wales/anglesey-penhesgyn-2/
8055,51.666667,-3.194919,"Caerphilly Blackwood High Street, United Kingdom",https://aqicn.org/city/united-kingdom/wales/caerphilly-blackwood-high-street
8056,51.74032,-3.2983,"Caerphilly Fochriw, United Kingdom",https://aqicn.org/city/united-kingdom/wales/caerphilly-fochriw
8057,51.573962,-3.218084,"Caerphilly White Street, United Kingdom",https://aqicn.org/city/united-kingdom/wales/caerphilly-white-street
8058,51.638094,-2.678731,"Chepstow A48, United Kingdom",https://aqicn.org/city/united-kingdom/wales/chepstow-a48
8059,51.601203,-2.977281,"Newport St Julians Comp School, United Kingdom",https://aqicn.org/city/united-kingdom/wales/newport-st-julians-comp-school
8060,51.590233,-3.786049,"Port Talbot Docks, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-docks
8061,51.572433,-3.751092,"Port Talbot Dyffryn School, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-dyffryn-school
8062,51.58493,-3.801069,"Port Talbot Little Warren, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-little-warren
8063,51.579656,-3.766465,"Port Talbot Prince Street 2, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-prince-street-2
8064,51.591479,-3.779197,"Port Talbot Talbot Road, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-talbot-road
8065,51.589942,-3.772005,"Port Talbot Theodore Road, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-theodore-road
8066,51.576676,-3.759005,"Port Talbot Twll-yn-y-Wal Park, United Kingdom",https://aqicn.org/city/united-kingdom/wales/port-talbot-twll-yn-y-wal-park
8067,51.565439,-3.256145,Rhondda-Cynon-Taf Nantgarw,http://aqicn.org/city/united-kingdom/wales/rhondda-cynon-taf-nantgarw/
8068,51.662122,-3.921301,"Swansea Morriston Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/wales/swansea-morriston-roadside
8069,51.61968,-3.33232,"Rhondda Glyncoch Garth Avenue, United Kingdom",https://aqicn.org/city/united-kingdom/wales/rhondda-glyncoch-garth-avenue
8070,52.629444,1.296667,"Norwich Castle Meadow, United Kingdom",https://aqicn.org/city/united-kingdom/norfolk/norwich-castle-meadow
8071,52.462778,0.814722,"Breckland East Wretham, United Kingdom",https://aqicn.org/city/united-kingdom/norfolk/breckland-east-wretham
